     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,12/24/2016-12/30/2016,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
R120,MORRISON AVE & WESTCHESTER    ,00011774,00000524,00000155,00000161,00000002,00012779,00004549,00000000,00000000,00000000,00000000,00000050,00000369,00000000,00000465,00000023,00000020,00000000,00000045,00000000,00000000,00000000,00001072,00000000,                                                                                                                      
R121,QUEENSBORO PLAZA              ,00018281,00000533,00000103,00000267,00000034,00014409,00014207,00000000,00000000,00000000,00000000,00000107,00000271,00000069,00001673,00000343,00000271,00000000,00000382,00000000,00000000,00000000,00000468,00000000,                                                                                                                      
R122,90TH STREET/ELMHURST AVENUE   ,00034674,00001903,00000178,00000644,00000005,00027123,00020064,00000000,00000000,00000000,00000000,00000141,00000791,00000014,00001022,00000082,00000188,00000000,00000241,00000000,00000000,00000000,00002070,00000000,                                                                                                                      
R123,FRANKLIN AVE/EASTERN PKWY     ,00019725,00001184,00000242,00000401,00000008,00013128,00014886,00000000,00000000,00000000,00000000,00000127,00000407,00000005,00002045,00000220,00000287,00000000,00000308,00000000,00000000,00000000,00001117,00000000,                                                                                                                      
R124,KINGSTON AVE/EASTERN PKWY     ,00012405,00000831,00000107,00000211,00000008,00006304,00004127,00000000,00000000,00000000,00000000,00000095,00000304,00000002,00000417,00000095,00000058,00000000,00000114,00000000,00000000,00000000,00000793,00000000,                                                                                                                      
R125,BROAD STREET & WALL STREET    ,00010827,00000431,00000050,00000100,00000010,00006960,00005788,00000000,00000000,00000000,00000000,00000210,00000063,00000021,00000806,00000182,00000111,00000000,00000270,00000000,00000000,00000000,00000196,00000000,                                                                                                                      
R126,175TH STREET/FT WASHINGTON    ,00029947,00001827,00000139,00000362,00000013,00012223,00011695,00000000,00000000,00000000,00000000,00000241,00001028,00000006,00001161,00000239,00000208,00000000,00000336,00000000,00000000,00000000,00000907,00000000,                                                                                                                      
R127,JAY ST-METROTECH              ,00052614,00003185,00000584,00001162,00000062,00032104,00031714,00000000,00000000,00000000,00000000,00000515,00000948,00000094,00003968,00000898,00000645,00000000,00000977,00000000,00000000,00000000,00002731,00000000,                                                                                                                      
R128,SUTPHIN BLVD-HILLSIDE AVE     ,00008739,00000491,00000083,00000124,00000004,00005394,00004975,00000000,00000000,00000000,00000000,00000070,00000201,00000001,00000300,00000042,00000065,00000000,00000100,00000000,00000000,00000000,00000541,00000000,                                                                                                                      
R129,BERGEN STREET-SMITH STREET    ,00018226,00001229,00000062,00000258,00000001,00008938,00012101,00000000,00000000,00000000,00000000,00000268,00000209,00000001,00001531,00000404,00000279,00000000,00000411,00000000,00000000,00000000,00000776,00000000,                                                                                                                      
R130,KINGS HIGHWAY-MCDONALD AVE    ,00008535,00000736,00000052,00000336,00000000,00003813,00006381,00000000,00000000,00000000,00000000,00000092,00000191,00000002,00000274,00000104,00000053,00000000,00000067,00000000,00000000,00000000,00000693,00000000,                                                                                                                      
R131,23RD STREET-PARK AVE SOUTH    ,00034580,00002463,00000207,00000614,00000125,00017333,00019058,00000000,00000000,00000000,00000000,00000447,00000481,00000087,00001957,00000735,00000365,00000000,00000603,00000000,00000000,00000000,00000661,00000000,                                                                                                                      
R132,125TH STREET-LEXINGTON AVE    ,00041663,00003048,00000778,00001396,00000195,00038763,00023407,00000000,00000000,00000000,00000000,00000184,00001840,00000321,00003228,00000450,00000328,00000000,00000327,00000000,00000000,00000000,00002523,00000000,                                                                                                                      
R133,MOSHOLU PARKWAY-JEROME AVE    ,00015143,00000869,00000191,00000256,00000008,00011545,00007526,00000000,00000000,00000000,00000000,00000062,00000448,00000001,00001113,00000082,00000077,00000000,00000060,00000000,00000000,00000000,00001159,00000000,                                                                                                                      
R134,HUNTERS PT AVE-49TH AVE       ,00009670,00000494,00000070,00000123,00000218,00004764,00004516,00000000,00000000,00000000,00000000,00000143,00000075,00000336,00000534,00000324,00000093,00000000,00000068,00000000,00000000,00000000,00000113,00000000,                                                                                                                      
R135,NEWKIRK AVE-NOSTRAND AVE      ,00013115,00000893,00000238,00000280,00000005,00009762,00006014,00000000,00000000,00000000,00000000,00000065,00000310,00000004,00000811,00000046,00000044,00000000,00000061,00000000,00000000,00000000,00001125,00000000,                                                                                                                      
R136,SHEEPSHEAD BAY ROAD           ,00024458,00002466,00000177,00000808,00000005,00008743,00016898,00000000,00000000,00000000,00000000,00000458,00000460,00000001,00001360,00000367,00000194,00000000,00000159,00000000,00000000,00000000,00001436,00000000,                                                                                                                      
R137,MYRTLE AVE-GATES AVENUE       ,00032529,00001229,00000202,00000448,00000004,00026085,00022501,00000000,00000000,00000000,00000000,00000146,00000662,00000013,00001611,00000130,00000228,00000000,00000350,00000000,00000000,00000000,00002121,00000000,                                                                                                                      
R138,WEST 4TH ST-WASHINGTON SQ     ,00075984,00004606,00000285,00000945,00000103,00042653,00039865,00000000,00000000,00000000,00000000,00000750,00000543,00000111,00003552,00001516,00000859,00000000,00002055,00000000,00000000,00000000,00001301,00000000,                                                                                                                      
R139,CANAL STREET-LISPENARD ST     ,00032362,00001342,00000102,00000343,00000115,00016555,00014426,00000000,00000000,00000000,00000000,00000297,00000269,00000228,00001251,00000585,00000338,00000000,00000806,00000000,00000000,00000000,00000586,00000000,                                                                                                                      
R140,QUEENS PLAZA-JACKSON AVE      ,00013948,00000558,00000109,00000308,00000031,00010697,00008909,00000000,00000000,00000000,00000000,00000092,00000180,00000060,00001321,00000224,00000150,00000000,00000346,00000000,00000000,00000000,00000407,00000000,                                                                                                                      
R141,71ST AVE-CONTINENTAL AVE      ,00045365,00005186,00000395,00001584,00000059,00018121,00032468,00000000,00000000,00000000,00000000,00000817,00000978,00000048,00002965,00001090,00000602,00000000,00000554,00000000,00000000,00000000,00002463,00000000,                                                                                                                      
R142,ESSEX ST-DELANCEY ST          ,00044955,00002571,00000274,00001008,00000036,00029080,00027009,00000000,00000000,00000000,00000000,00000340,00000944,00000022,00002262,00000517,00000518,00000000,00001062,00000000,00000000,00000000,00002236,00000000,                                                                                                                      
R143,28TH STREET-PARK AVE SOUTH    ,00037003,00002177,00000187,00000484,00000092,00019631,00019964,00000000,00000000,00000000,00000000,00000598,00000432,00000066,00003346,00000703,00000450,00000000,00000733,00000000,00000000,00000000,00000742,00000000,                                                                                                                      
R144,96TH STREET-LEXINGTON AVE     ,00037739,00003205,00000254,00000832,00000043,00018580,00024065,00000000,00000000,00000000,00000000,00000416,00000701,00000097,00003080,00000912,00000630,00000000,00000496,00000000,00000000,00000000,00001239,00000000,                                                                                                                      
R145,241ST ST-WHITE PLAINS RD      ,00010868,00000478,00000121,00000128,00000013,00007505,00002858,00000000,00000000,00000000,00000000,00000035,00000407,00000000,00000330,00000019,00000021,00000000,00000027,00000000,00000000,00000000,00000833,00000000,                                                                                                                      
R146,HUNTS PT AVE-SOUTHERN BLVD    ,00014711,00000728,00000179,00000374,00000001,00016001,00007389,00000000,00000000,00000000,00000000,00000064,00000499,00000000,00000946,00000030,00000046,00000000,00000090,00000000,00000000,00000000,00001256,00000000,                                                                                                                      
R147,61ST STREET-ROOSEVELT AVE     ,00029967,00002315,00000208,00000714,00000151,00017762,00023395,00000000,00000000,00000000,00000000,00000214,00000603,00000253,00001438,00000323,00000248,00000000,00000518,00000000,00000000,00000000,00001530,00000000,                                                                                                                      
R148,PARKSIDE AVE-OCEAN AVE        ,00009440,00000574,00000117,00000275,00000004,00007524,00006850,00000000,00000000,00000000,00000000,00000044,00000280,00000006,00000756,00000054,00000127,00000000,00000128,00000000,00000000,00000000,00000955,00000000,                                                                                                                      
R149,NEWKIRK PLAZA                 ,00017205,00001434,00000211,00000533,00000004,00010298,00012012,00000000,00000000,00000000,00000000,00000164,00000505,00000002,00000954,00000167,00000140,00000000,00000134,00000000,00000000,00000000,00001195,00000000,                                                                                                                      
R150,AVENUE U-EAST 16TH STREET     ,00012634,00001425,00000102,00000811,00000001,00005709,00012040,00000000,00000000,00000000,00000000,00000170,00000236,00000003,00000583,00000173,00000103,00000000,00000065,00000000,00000000,00000000,00001096,00000000,                                                                                                                      
R151,STILLWELL AVE-CONEY ISLAND    ,00019670,00001450,00000246,00001106,00000006,00015900,00011811,00000000,00000000,00000000,00000000,00000083,00000467,00000000,00000544,00000092,00000057,00000000,00000218,00000000,00000000,00000000,00001745,00000000,                                                                                                                      
R152,ROCKAWAY PKWY-GLENWOOD RD     ,00017290,00000834,00000197,00000469,00000002,00015825,00009905,00000000,00000000,00000000,00000000,00000130,00000318,00000005,00001596,00000093,00000054,00000000,00000087,00000000,00000000,00000000,00001202,00000000,                                                                                                                      
R153,UTICA AVE-STUYVESANT AVE      ,00023364,00001085,00000350,00000452,00000004,00023629,00014187,00000000,00000000,00000000,00000000,00000132,00000511,00000003,00001698,00000155,00000178,00000000,00000373,00000000,00000000,00000000,00001965,00000000,                                                                                                                      
R154,TREMONT AVE-179TH ST          ,00015173,00000707,00000215,00000324,00000005,00018270,00007824,00000000,00000000,00000000,00000000,00000072,00000532,00000000,00000958,00000043,00000056,00000000,00000097,00000000,00000000,00000000,00001709,00000000,                                                                                                                      
R155,KINGSBRIDGE RD-196TH ST       ,00014366,00000694,00000127,00000264,00000006,00013745,00006796,00000000,00000000,00000000,00000000,00000033,00000338,00000002,00000750,00000074,00000106,00000000,00000084,00000000,00000000,00000000,00001312,00000000,                                                                                                                      
R156,BEDFORD PARK BLVD-203RD ST    ,00011573,00000708,00000087,00000199,00000011,00009167,00006384,00000000,00000000,00000000,00000000,00000059,00000309,00000006,00000881,00000067,00000075,00000000,00000096,00000000,00000000,00000000,00000875,00000000,                                                                                                                      
R157,205TH ST-BAINBRIDGE AVE       ,00015017,00000825,00000113,00000281,00000004,00012554,00007728,00000000,00000000,00000000,00000000,00000079,00000346,00000009,00000918,00000060,00000074,00000000,00000098,00000000,00000000,00000000,00001256,00000000,                                                                                                                      
R158,UNION TURNPIKE-KEW GARDENS    ,00027738,00002637,00000431,00001290,00000031,00020168,00028407,00000000,00000000,00000000,00000000,00000369,00000652,00000037,00002546,00000541,00000281,00000000,00000317,00000000,00000000,00000000,00001288,00000000,                                                                                                                      
R159,116TH STREET-COLUMBIA         ,00017348,00001304,00000121,00000226,00000024,00007582,00007520,00000000,00000000,00000000,00000000,00000115,00000281,00000033,00000347,00000376,00000213,00000000,00000411,00000000,00000000,00000000,00000345,00000000,                                                                                                                      
R160,ASTOR PLACE-4 AVENUE          ,00029754,00001881,00000113,00000398,00000063,00016115,00015482,00000000,00000000,00000000,00000000,00000327,00000316,00000036,00001496,00000570,00000310,00000000,00000758,00000000,00000000,00000000,00000789,00000000,                                                                                                                      
R161,KINGSBRIDGE RD-JEROME AVE     ,00015048,00000782,00000131,00000217,00000008,00015194,00006596,00000000,00000000,00000000,00000000,00000057,00000492,00000006,00000746,00000053,00000117,00000000,00000084,00000000,00000000,00000000,00001337,00000000,                                                                                                                      
R162,ELDER AVE-WESTCHESTER AVE     ,00013013,00000523,00000107,00000155,00000000,00012557,00004490,00000000,00000000,00000000,00000000,00000054,00000303,00000000,00000363,00000033,00000036,00000000,00000041,00000000,00000000,00000000,00001120,00000000,                                                                                                                      
R163,14TH STREET-6TH AVENUE        ,00038704,00002548,00000224,00000631,00000031,00020653,00025406,00000000,00000000,00000000,00000000,00000523,00000311,00000032,00002756,00000843,00000628,00000000,00000757,00000000,00000001,00000000,00001173,00000000,                                                                                                                      
R164,66TH STREET-BROADWAY          ,00044778,00006611,00000350,00001159,00000114,00022568,00023832,00000000,00000000,00000001,00000000,00000524,00000702,00000233,00002314,00001165,00000513,00000000,00000984,00000000,00000000,00000000,00001281,00000000,                                                                                                                      
R165,TOMPKINSVILLE                 ,00001897,00000066,00000020,00000024,00000000,00000608,00000225,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000009,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000117,00000000,                                                                                                                      
R166,79TH STREET-BROADWAY          ,00031348,00003978,00000237,00000812,00000026,00018043,00017178,00000000,00000000,00000000,00000000,00000373,00000585,00000057,00001536,00000688,00000452,00000000,00000627,00000000,00000000,00000000,00000700,00000000,                                                                                                                      
R167,86TH STREET-BROADWAY          ,00033567,00005044,00000427,00000995,00000037,00018586,00021456,00000000,00000000,00000000,00000000,00000311,00000745,00000036,00001935,00000881,00000469,00000000,00000598,00000000,00000000,00000000,00001181,00000000,                                                                                                                      
R168,96TH STREET-BROADWAY          ,00059417,00009544,00000689,00002540,00000049,00036881,00043289,00000000,00000000,00000000,00000000,00000684,00001662,00000081,00004054,00001413,00000929,00000000,00000994,00000000,00000000,00000000,00002382,00000000,                                                                                                                      
R169,137TH STREET-BROADWAY         ,00018945,00001421,00000212,00000380,00000007,00019397,00013791,00000000,00000000,00000000,00000000,00000059,00000863,00000013,00001196,00000169,00000284,00000000,00000265,00000000,00000000,00000000,00001328,00000000,                                                                                                                      
R170,14TH STREET-UNION SQUARE      ,00179538,00010911,00001119,00003107,00000326,00104653,00116456,00000000,00000000,00000000,00000000,00001956,00002102,00000439,00012050,00003596,00002317,00000000,00003403,00000000,00000000,00000000,00005560,00000000,                                                                                                                      
R171,7TH AVENUE-PARK PLACE         ,00013367,00001134,00000083,00000245,00000000,00004919,00010077,00000000,00000000,00000000,00000000,00000154,00000197,00000010,00001305,00000472,00000234,00000000,00000218,00000000,00000000,00000000,00000426,00000000,                                                                                                                      
R172,BRIGHTON BEACH-CONEY ISLAND   ,00023756,00002735,00000170,00000825,00000009,00009538,00012802,00000000,00000000,00000000,00000000,00000188,00000685,00000005,00000461,00000172,00000182,00000000,00000257,00000000,00000000,00000000,00001131,00000000,                                                                                                                      
R173,207TH STREET-BROADWAY         ,00013172,00001331,00000180,00000430,00000020,00008568,00010037,00000000,00000000,00000000,00000000,00000080,00000473,00000007,00001272,00000158,00000188,00000000,00000157,00000000,00000000,00000000,00000740,00000000,                                                                                                                      
R174,181ST STREET-FT WASH AVE      ,00017929,00002118,00000140,00000454,00000006,00009882,00013770,00000000,00000000,00000000,00000000,00000180,00000376,00000013,00001441,00000352,00000312,00000000,00000317,00000000,00000000,00000000,00000994,00000000,                                                                                                                      
R175,8TH AVENUE-14TH STREET        ,00079640,00003666,00000299,00001053,00000136,00053088,00039591,00000000,00000000,00000000,00000000,00000772,00000861,00000115,00004250,00001482,00000847,00000000,00002326,00000000,00000000,00000000,00001935,00000000,                                                                                                                      
R176,33RD STREET-PARK AVENUE       ,00054679,00003181,00000265,00000685,00000094,00028387,00027711,00000000,00000000,00000000,00000000,00000886,00000514,00000082,00003267,00001028,00000523,00000000,00001153,00000000,00000000,00000000,00001052,00000000,                                                                                                                      
R177,68TH STREET-HUNTER COLLEGE    ,00049251,00004596,00000256,00000748,00000183,00019738,00024960,00000000,00000000,00000000,00000000,00000515,00000868,00000217,00002119,00001193,00000561,00000000,00000617,00000000,00000000,00000000,00000802,00000000,                                                                                                                      
R178,77TH STREET-LEXINGTON AVE     ,00067545,00005772,00000336,00000931,00000094,00031794,00033145,00000000,00000000,00000000,00000000,00000889,00000950,00000173,00003096,00001443,00000724,00000000,00001250,00000000,00000001,00000000,00001072,00000000,                                                                                                                      
R179,86TH STREET-LEXINGTON AVE     ,00111662,00009258,00000597,00001720,00000180,00061437,00066169,00000000,00000000,00000000,00000000,00001442,00001360,00000289,00007071,00002461,00001453,00000000,00002045,00000000,00000000,00000000,00003712,00000000,                                                                                                                      
R180,103RD STREET-LEXINGTON AVE    ,00026346,00002136,00000232,00000719,00000025,00020254,00015035,00000000,00000000,00000000,00000000,00000132,00000864,00000028,00001273,00000242,00000209,00000000,00000366,00000000,00000000,00000000,00001995,00000000,                                                                                                                      
R181,110TH STREET-LEXINGTON AVE    ,00019194,00001484,00000219,00000670,00000009,00016580,00013003,00000000,00000000,00000000,00000000,00000085,00000570,00000029,00001173,00000123,00000202,00000000,00000244,00000000,00000000,00000000,00001612,00000000,                                                                                                                      
R182,116TH STREET-LEXINGTON AVE    ,00024483,00001705,00000377,00000801,00000009,00025608,00015966,00000000,00000000,00000000,00000000,00000101,00000933,00000007,00001474,00000260,00000212,00000000,00000255,00000000,00000000,00000000,00002095,00000000,                                                                                                                      
R183,BEDFORD PARK BLVD-JEROME AV   ,00007223,00000388,00000101,00000128,00000002,00006586,00003617,00000000,00000000,00000000,00000000,00000033,00000207,00000000,00000433,00000035,00000021,00000000,00000030,00000000,00000000,00000000,00000575,00000000,                                                                                                                      
R184,CORTELYOU RD-EAST 16TH ST     ,00010677,00000701,00000072,00000156,00000000,00006436,00007423,00000000,00000000,00000000,00000000,00000090,00000266,00000000,00000688,00000126,00000149,00000000,00000104,00000000,00000000,00000000,00000822,00000000,                                                                                                                      
R185,DYCKMAN STREET-BROADWAY       ,00011395,00000838,00000091,00000272,00000004,00007801,00007390,00000000,00000000,00000000,00000000,00000096,00000416,00000000,00000864,00000122,00000162,00000000,00000157,00000000,00000000,00000000,00000767,00000000,                                                                                                                      
R186,86TH ST-CENTRAL PARK WEST     ,00015468,00001795,00000112,00000413,00000007,00009011,00009766,00000000,00000000,00000000,00000000,00000235,00000283,00000052,00000932,00000354,00000205,00000000,00000373,00000000,00000000,00000000,00000426,00000000,                                                                                                                      
R187,81ST STREET-MUSEUM            ,00048064,00001984,00000100,00000371,00000062,00029865,00011096,00000000,00000000,00000000,00000000,00000306,00000325,00000075,00001242,00000636,00000198,00000000,00001749,00000000,00000000,00000000,00001008,00000000,                                                                                                                      
R188,50TH STREET-8TH AVENUE        ,00052393,00002366,00000218,00000700,00000135,00030463,00019805,00000000,00000000,00000000,00000000,00000375,00000612,00000136,00001972,00000906,00000420,00000000,00002177,00000000,00000000,00000000,00000758,00000000,                                                                                                                      
R189,CHRISTOPHER ST-SHERIDAN SQ    ,00022145,00001829,00000125,00000363,00000046,00012526,00008237,00000000,00000000,00000000,00000000,00000177,00000294,00000052,00000791,00000469,00000194,00000000,00000638,00000000,00000000,00000000,00000196,00000000,                                                                                                                      
R190,23RD STREET-7TH AVENUE        ,00021703,00002385,00000247,00000677,00000027,00013410,00012664,00000000,00000000,00000000,00000000,00000268,00000472,00000048,00001178,00000447,00000297,00000000,00000531,00000000,00000000,00000000,00000419,00000000,                                                                                                                      
R191,103RD STREET-BROADWAY         ,00022903,00003839,00000295,00000811,00000004,00017045,00014742,00000000,00000000,00000000,00000000,00000194,00000895,00000012,00001155,00000420,00000365,00000000,00000610,00000000,00000000,00000000,00001186,00000000,                                                                                                                      
R192,110TH STREET-BROADWAY         ,00022771,00002937,00000178,00000646,00000014,00012952,00012270,00000000,00000000,00000000,00000000,00000152,00000496,00000023,00001031,00000409,00000288,00000000,00000571,00000000,00000000,00000000,00000777,00000000,                                                                                                                      
R193,157TH STREET-BROADWAY         ,00016650,00001742,00000196,00000452,00000004,00018292,00012226,00000000,00000000,00000000,00000000,00000077,00000730,00000002,00000968,00000113,00000212,00000000,00000225,00000000,00000000,00000000,00001315,00000000,                                                                                                                      
R194,BLEECKER ST-LAFAYETTE ST      ,00030743,00001375,00000111,00000287,00000056,00017927,00016928,00000000,00000000,00000000,00000000,00000330,00000232,00000079,00001844,00000641,00000327,00000000,00000804,00000000,00000000,00000000,00000787,00000000,                                                                                                                      
R195,161ST STREET-YANKEE STADIUM   ,00044104,00002180,00000400,00000867,00000027,00038625,00019517,00000000,00000000,00000000,00000000,00000205,00001203,00000030,00002541,00000248,00000242,00000000,00000473,00000000,00000000,00000000,00003686,00000000,                                                                                                                      
R196,PROSPECT PARK-EMPIRE BLVD     ,00014904,00000965,00000217,00000330,00000001,00010745,00011751,00000000,00000000,00000000,00000000,00000130,00000299,00000001,00001337,00000180,00000209,00000000,00000194,00000000,00000000,00000000,00001044,00000000,                                                                                                                      
R197,36TH STREET-4TH AVENUE        ,00022165,00001143,00000120,00000509,00000017,00013808,00014604,00000000,00000000,00000000,00000000,00000178,00000387,00000014,00001030,00000171,00000283,00000000,00000182,00000000,00000000,00000000,00001183,00000000,                                                                                                                      
R198,NOSTRAND AVE-FULTON ST        ,00025466,00001225,00000419,00000485,00000011,00024221,00017585,00000000,00000000,00000000,00000000,00000179,00000674,00000000,00002092,00000206,00000267,00000000,00000574,00000000,00000000,00000000,00001607,00000000,                                                                                                                      
R199,KINGSTON AVE-THROOP AVE       ,00010126,00000429,00000090,00000153,00000005,00009219,00005858,00000000,00000000,00000000,00000000,00000047,00000232,00000003,00000619,00000058,00000093,00000000,00000208,00000000,00000000,00000000,00000644,00000000,                                                                                                                      
R200,EUCLID AVE-PITKIN AVE         ,00018012,00000948,00000195,00000329,00000001,00014654,00008299,00000000,00000000,00000000,00000000,00000057,00000692,00000002,00000716,00000056,00000061,00000000,00000116,00000000,00000000,00000000,00001736,00000000,                                                                                                                      
R201,WOODHAVEN BLVD-QUEENS BLVD    ,00048938,00003141,00000376,00000925,00000018,00027496,00030468,00000000,00000000,00000000,00000000,00000351,00000823,00000036,00002552,00000321,00000367,00000000,00000513,00000000,00000000,00000000,00006695,00000000,                                                                                                                      
R202,63RD DRIVE-REGO PARK          ,00032018,00004375,00000304,00001071,00000022,00014055,00024935,00000000,00000000,00000000,00000000,00000396,00000846,00000025,00002073,00000526,00000431,00000000,00000369,00000000,00000000,00000000,00001511,00000000,                                                                                                                      
R203,23RD STREET-6TH AVENUE        ,00026180,00001386,00000146,00000480,00000018,00012809,00016081,00000000,00000000,00000000,00000000,00000410,00000190,00000022,00001572,00000593,00000424,00000000,00000439,00000000,00000000,00000000,00000398,00000000,                                                                                                                      
R204,CHURCH AVE-MCDONALD AVE       ,00015910,00001384,00000162,00000595,00000002,00009614,00012930,00000000,00000000,00000000,00000000,00000108,00000303,00000007,00000847,00000203,00000174,00000000,00000168,00000000,00000000,00000000,00001310,00000000,                                                                                                                      
R205,149TH ST-GRAND CONCOURSE      ,00017170,00000989,00000238,00000396,00000003,00016878,00009200,00000000,00000000,00000000,00000000,00000066,00000460,00000001,00002528,00000094,00000100,00000000,00000091,00000000,00000000,00000000,00001674,00000000,                                                                                                                      
R206,125TH STREET-LENOX AVENUE     ,00023244,00001754,00000468,00000864,00000036,00025074,00014768,00000000,00000000,00000000,00000000,00000139,00000880,00000041,00001655,00000199,00000182,00000000,00000328,00000000,00000000,00000000,00001928,00000000,                                                                                                                      
R207,135TH STREET-LENOX AVENUE     ,00022348,00002121,00000465,00000817,00000017,00021357,00015425,00000000,00000000,00000000,00000000,00000111,00000820,00000020,00003196,00000157,00000285,00000000,00000230,00000000,00000000,00000000,00001948,00000000,                                                                                                                      
R208,103RD ST-ROOSEVELT AVE        ,00041709,00001216,00000206,00000322,00000006,00039392,00015660,00000000,00000000,00000000,00000000,00000118,00000836,00000020,00000666,00000081,00000114,00000000,00000200,00000000,00000000,00000000,00002682,00000000,                                                                                                                      
R209,STERLING ST-NOSTRAND AVE      ,00010127,00000821,00000163,00000221,00000001,00006851,00005697,00000000,00000000,00000000,00000000,00000069,00000352,00000001,00000705,00000072,00000142,00000000,00000119,00000000,00000000,00000000,00000669,00000000,                                                                                                                      
R210,BEVERLY RD-NOSTRAND AVE       ,00008231,00000574,00000096,00000106,00000000,00005734,00003714,00000000,00000000,00000000,00000000,00000071,00000211,00000001,00000535,00000053,00000049,00000000,00000041,00000000,00000000,00000000,00000670,00000000,                                                                                                                      
R211,KINGS HIGHWAY-EAST 16TH ST    ,00031911,00003356,00000265,00001186,00000005,00014685,00023210,00000000,00000000,00000000,00000000,00000549,00000584,00000007,00001384,00000648,00000252,00000000,00000181,00000000,00000000,00000000,00001849,00000000,                                                                                                                      
R212,59TH STREET-4TH AVENUE        ,00025469,00001311,00000181,00000688,00000010,00014148,00016240,00000000,00000000,00000000,00000000,00000149,00000469,00000023,00000888,00000214,00000171,00000000,00000214,00000000,00000000,00000000,00001995,00000000,                                                                                                                      
R213,BAY RIDGE AVE-4TH AVENUE      ,00013779,00001134,00000114,00000397,00000001,00007054,00010506,00000000,00000000,00000000,00000000,00000134,00000381,00000002,00000694,00000167,00000123,00000000,00000134,00000000,00000000,00000000,00001119,00000000,                                                                                                                      
R214,77TH STREET-4TH AVENUE        ,00010916,00000782,00000071,00000231,00000004,00003927,00006264,00000000,00000000,00000000,00000000,00000163,00000227,00000001,00000543,00000167,00000102,00000000,00000083,00000000,00000000,00000000,00000407,00000000,                                                                                                                      
R215,86TH STREET-4TH AVENUE        ,00018249,00001179,00000157,00000557,00000006,00012732,00013997,00000000,00000000,00000000,00000000,00000156,00000376,00000007,00000930,00000241,00000165,00000000,00000271,00000000,00000000,00000000,00001076,00000000,                                                                                                                      
R216,BAY RIDGE - 95TH STREET       ,00011308,00001164,00000082,00000210,00000004,00003877,00006601,00000000,00000000,00000000,00000000,00000162,00000292,00000006,00000556,00000215,00000126,00000000,00000094,00000000,00000000,00000000,00000411,00000000,                                                                                                                      
R217,HOYT ST-SCHERMERHORN ST       ,00017341,00000945,00000160,00000234,00000009,00011749,00008805,00000000,00000000,00000000,00000000,00000112,00000312,00000004,00001043,00000217,00000162,00000000,00000375,00000000,00000000,00000000,00000899,00000000,                                                                                                                      
R218,ELMHURST AVE-BROADWAY         ,00023231,00002218,00000217,00000809,00000000,00013739,00026162,00000000,00000000,00000000,00000000,00000160,00000645,00000017,00001239,00000147,00000260,00000000,00000243,00000000,00000000,00000000,00001811,00000000,                                                                                                                      
R219,67TH AVENUE-QUEENS BLVD       ,00015303,00002334,00000104,00000590,00000002,00004164,00012223,00000000,00000000,00000000,00000000,00000274,00000433,00000022,00001275,00000297,00000197,00000000,00000202,00000000,00000000,00000000,00000721,00000000,                                                                                                                      
R220,CARROLL ST-PRESIDENT ST       ,00016489,00001089,00000059,00000159,00000005,00006806,00010192,00000000,00000000,00000000,00000000,00000246,00000177,00000003,00001355,00000507,00000246,00000000,00000362,00000000,00000000,00000000,00000635,00000000,                                                                                                                      
R221,167TH STREET-RIVER AVENUE     ,00015860,00000692,00000182,00000244,00000002,00018388,00007620,00000000,00000000,00000000,00000000,00000040,00000498,00000005,00001025,00000051,00000069,00000000,00000067,00000000,00000000,00000000,00001584,00000000,                                                                                                                      
R222,177TH STREET-PARKCHESTER      ,00026650,00001744,00000242,00000559,00000001,00020371,00015934,00000000,00000000,00000000,00000000,00000218,00000706,00000015,00002002,00000159,00000128,00000000,00000137,00000000,00000000,00000000,00002169,00000000,                                                                                                                      
R223,46TH ST-BLISS ST              ,00024291,00001758,00000206,00000396,00000013,00017161,00020571,00000000,00000000,00000000,00000000,00000197,00000545,00000019,00001373,00000174,00000233,00000000,00000343,00000000,00000000,00000000,00001306,00000000,                                                                                                                      
R224,CLARK STREET-HENRY STREET     ,00009363,00001331,00000038,00000281,00000015,00005337,00004990,00000000,00000000,00000000,00000000,00000093,00000183,00000014,00000547,00000201,00000162,00000000,00000329,00000000,00000000,00000000,00000213,00000000,                                                                                                                      
R225,HOYT STREET-HOYT STREET       ,00008101,00000672,00000096,00000157,00000011,00005756,00004792,00000000,00000000,00000000,00000000,00000044,00000165,00000023,00000645,00000081,00000069,00000000,00000069,00000000,00000000,00000000,00000747,00000000,                                                                                                                      
R226,GUN HILL ROAD-SEYMOUR         ,00009423,00000500,00000092,00000127,00000002,00006262,00003251,00000000,00000000,00000000,00000000,00000080,00000277,00000001,00000568,00000040,00000052,00000000,00000020,00000000,00000000,00000000,00000883,00000000,                                                                                                                      
R227,RECTOR STREET-CHURCH STREET   ,00012951,00000511,00000031,00000110,00000005,00007181,00005506,00000000,00000000,00000000,00000000,00000221,00000075,00000012,00000561,00000252,00000128,00000000,00000371,00000000,00000000,00000000,00000184,00000000,                                                                                                                      
